"","GeneId","Descripcion","Ctrl0hr","Ctrl1hr","Encyst1hr","Ctrl4hr","Encyst4hr","Ctrl8hr","Encyst8hr"
"ACA1_007780","ACA1_007780","Vtype ATPase, G subunit",3097.74,2966.68,991.35,2769.42,2567.48,2645.32,2810.07
"ACA1_007800","ACA1_007800","hypothetical protein",57.06,52.15,19.2,50.32,19.02,50.73,26.3
"ACA1_009160","ACA1_009160","hypothetical protein",83.2,87.99,38,71.13,36.8,75.14,60.14
"ACA1_009170","ACA1_009170","serine/threonine protein kinase",220.74,448.02,118.19,274.1,137.43,264.22,103.02
"ACA1_009280","ACA1_009280","Serine/threonineprotein kinase",158.25,344.21,91.87,205.57,111.31,205.68,75
"ACA1_009890","ACA1_009890","glucose repression mediator protein",60.33,47.72,67.43,65.87,67.62,72.57,82.92
"ACA1_009900","ACA1_009900","hypothetical protein",62.62,70.88,76.13,58.86,133.67,59.75,191.73
"ACA1_009910","ACA1_009910","glutamate-tRNA ligase",83.05,78.08,12.69,88.76,13,91.17,20.74
"ACA1_010180","ACA1_010180","DUF410 family protein",83.5,71.41,82.07,75.29,61.84,74.33,65.36
"ACA1_011040","ACA1_011040","hypothetical protein",91.73,89,6.24,94.91,12.37,95.01,13.09
"ACA1_011150","ACA1_011150","eIF4gamma/eIF5/eIF2-epsilon domain containing protein",43.45,42.32,36.48,42.17,38.53,42.57,39.92
"ACA1_011160","ACA1_011160","replication protein A2 family protein, putative",158.22,88.18,18.03,157.5,28.3,120.59,36.55
"ACA1_011260","ACA1_011260","myosin I heavy chain kinase",41.07,41.01,59.21,40.66,58.27,42.98,54.08
"ACA1_012020","ACA1_012020","hypothetical protein",56.83,56.49,76.44,55.78,98.25,58.31,110.81
"ACA1_012040","ACA1_012040","LIM domain containing protein",88.61,103.19,110.06,80.92,79.21,92.42,69.5
"ACA1_012260","ACA1_012260","hypothetical protein",79.38,77.2,45.46,75.73,68.4,60.78,73.64
"ACA1_012270","ACA1_012270","aldehyde dehydrogenase",121.72,120.66,98.09,123.25,116.14,129.3,130.41
"ACA1_012310","ACA1_012310","biogenesis of lysosome related family protein",83.76,74.24,75.13,71.67,82.26,65.77,84.01
"ACA1_012630","ACA1_012630","hypothetical protein",95.28,84.86,94.15,92.02,84.76,103.44,74.41
"ACA1_012740","ACA1_012740","Gprotein-coupled receptor (GPCR) family protein",46.64,37.74,41.09,39.44,39.56,40.91,35
"ACA1_012960","ACA1_012960","hypothetical protein",41.74,39.63,30.09,34.08,35.44,34.08,36.17
"ACA1_013000","ACA1_013000","hypothetical protein",84.05,122.1,235.81,76.58,266.96,94.54,276.99
"ACA1_013340","ACA1_013340","PH domain containing protein",54.7,37.92,40.56,47.4,61.12,52.66,52.32
"ACA1_013390","ACA1_013390","glucan (1,4alpha-), branching enzyme 1, putative",544.26,425.75,874.63,474.88,96.63,533.36,54.09
"ACA1_013620","ACA1_013620","protein phosphatase 3, catalytic subunit, beta isoform, putative",92.74,100.01,133.61,83.94,123.86,87.42,129.11
"ACA1_013630","ACA1_013630","calcineurin subunit a, putative",91.59,101.66,135.98,83.74,132.75,87.14,132.92
"ACA1_013640","ACA1_013640","hydrolase, NUDIX, putative",50.14,41.62,42.33,52.28,39.18,53.44,29.72
"ACA1_013670","ACA1_013670","copper chaperone Atox1, putative",274.14,252.89,510.26,252.6,277.98,246.25,186.72
"ACA1_014100","ACA1_014100","succinateCoA ligase, GDP-forming, beta subunit, putative",573.89,577.23,262.92,661.42,299.39,655.1,398.62
"ACA1_014250","ACA1_014250","cytochrome b5 family protein",370.66,347.97,66.79,355.16,94.14,323.9,118.67
"ACA1_014360","ACA1_014360","calcium/calmodulindependent protein kinase",111.92,105.65,102.57,104.7,115.29,104.98,124.58
"ACA1_014380","ACA1_014380","nuclear movement protein nudC, putative",152.93,151.64,181.52,141.25,178.54,135.15,178.51
"ACA1_014390","ACA1_014390","hypothetical protein",116.46,108.28,23.26,105.63,23.63,93.5,24.12
"ACA1_014740","ACA1_014740","cyclin, Nterminal domain containing protein",50.86,55.34,15.02,52.51,18.04,51.5,15.93
"ACA1_014870","ACA1_014870","tRNA phosphotransferase 1 isoform 1, putative",67.48,75.69,130.99,44.27,79.16,66.67,78.49
"ACA1_015350","ACA1_015350","dihydrodipicolinate synthetase, putative",43.39,47.81,36.22,41.67,30.33,42.03,33.25
"ACA1_015500","ACA1_015500","aldehyde dehydrogenase",118.55,116.9,46.11,124.75,40.98,117.76,40.94
"ACA1_015560","ACA1_015560","hypothetical protein",72.98,55.63,63.99,62.97,78.4,63.47,82.61
"ACA1_016360","ACA1_016360","hypothetical protein",51.59,49.98,16.45,44.72,8.24,37.98,6.51
"ACA1_016470","ACA1_016470","hypothetical protein",133.43,133.8,217.75,126.51,160.16,132.98,127.74
"ACA1_017320","ACA1_017320","hypothetical protein",395.28,350.12,203.61,378.6,203.81,326.45,199.69
"ACA1_017740","ACA1_017740","Exonuclease ii, putative",76.81,83.42,51.85,87.05,48.18,92.85,50.79
"ACA1_018120","ACA1_018120","hypothetical protein",59.42,57.95,84.93,42.88,10.64,49.77,2.33
"ACA1_018760","ACA1_018760","cell cycle control protein",43.18,37.53,26.97,44.97,30.37,54.05,36.75
"ACA1_018770","ACA1_018770","signal recognition particle 68 kDa protein",75.39,75.74,95.95,77.73,72.54,81.99,75.75
"ACA1_018780","ACA1_018780","ATPase, AAA domain containing protein",173.89,180.53,97.55,155.72,80.13,183.21,118.16
"ACA1_018970","ACA1_018970","hypothetical protein",170.14,382.36,443.53,54.11,558.67,86.17,627.09
"ACA1_019010","ACA1_019010","hypothetical protein",85.58,74.56,794.84,56.01,965.25,60.96,971.72
"ACA1_019340","ACA1_019340","phosphorylase kinase alpha subunit",104.82,125.18,57.08,100.67,6.54,119.01,7.85
"ACA1_019640","ACA1_019640","DSS1/SEM1 family protein",141.37,132.99,373.24,126.34,211.04,119.76,152.42
"ACA1_019960","ACA1_019960","SWIRM domain containing protein",42.73,37.82,29.94,40.61,31.41,39.07,29.59
"ACA1_020090","ACA1_020090","cleavage stimulation factor 64kDa subunit",88.41,81.39,48.28,70.82,34.64,64.36,36.38
"ACA1_020860","ACA1_020860","mitochondrial ribosomal protein, L38, putative",197.98,194.56,56.29,223.36,54.52,210.76,65.17
"ACA1_022200","ACA1_022200","hypothetical protein",171.48,115.81,175.61,86.98,30.39,109.02,5.69
"ACA1_022220","ACA1_022220","AcetylCoA carboxylase, carboxyltransferase component, putative",203.97,189.04,78.53,214.37,107.11,210.91,153.24
"ACA1_022330","ACA1_022330","carbamoylphosphate synthase L chain, ATP-binding, putative",168.24,155.43,53.59,200.16,91.57,192.58,112.88
"ACA1_022710","ACA1_022710","H(+)-transporting atpase family protein",1266.07,1192.99,488.98,1317.35,1432.18,1320.47,1576.29
"ACA1_023090","ACA1_023090","hypothetical protein",42.26,38.88,57.52,39.12,93.04,35.35,116.3
"ACA1_023390","ACA1_023390","ALG3 protein",42.28,37.58,81.91,34.09,107.86,32.5,110.43
"ACA1_023810","ACA1_023810","eukaryotic initiation factor 5a, putative",4378.45,4472.92,4789.28,4669.13,7155.05,4639.95,8576.83
"ACA1_023820","ACA1_023820","nuclease domain containing protein",116.9,102.15,76.92,138.78,49.61,148.21,53.72
"ACA1_023870","ACA1_023870","peptidase, putative",45.85,47.32,15.59,44.61,20.68,45.27,21.11
"ACA1_023880","ACA1_023880","Mitochondrial 39S ribosomal protein L47",258.61,241.44,78.92,242.57,106.58,204.37,139.47
"ACA1_024220","ACA1_024220","purinergic receptor, putative",107.33,104.98,50.06,97.33,65.56,105.26,75.32
"ACA1_024230","ACA1_024230","subtilisin, putative",468.05,419.87,496.23,410.01,772.06,433.86,1120.66
"ACA1_024240","ACA1_024240","Yip1 domain containing protein",49.55,49.04,70.42,46.08,65.62,45.23,83.3
"ACA1_024380","ACA1_024380","myosin1, putative",59.17,103.19,78,63.1,56.8,82.03,44.61
"ACA1_024390","ACA1_024390","hypothetical protein",44.97,60.62,42,46.37,48.17,44.1,46.6
"ACA1_025520","ACA1_025520","talin, putative",63.73,83.68,87.73,82.77,80.35,96.69,111.65
"ACA1_025570","ACA1_025570","hypothetical protein",85.37,65.91,55.95,87.75,62.12,89.16,54.88
"ACA1_025670","ACA1_025670","DOMON domain containing protein",55.92,57.29,12.52,67.78,14.33,65.31,14.48
"ACA1_025680","ACA1_025680","hypothetical protein",143.46,121.68,57.14,121.05,56.11,107.79,67.77
"ACA1_025690","ACA1_025690","Fibrillarin, putative",1973.11,2232.62,134.67,1857.47,35.02,1795.64,35.5
"ACA1_025730","ACA1_025730","hypothetical protein",235.53,222.97,609.99,184.96,588.1,189.5,597.36
"ACA1_026390","ACA1_026390","EFhand domain containing protein",70.66,74.17,225.38,52.11,311.32,50.99,328.29
"ACA1_026700","ACA1_026700","serine/threonine protein kinase",39.71,36.24,43.88,31.79,48.81,31.75,49.7
"ACA1_026720","ACA1_026720","RasGEF domain containing protein",43.57,44.84,33.78,51.56,35.21,69.95,27.93
"ACA1_026820","ACA1_026820","hypothetical protein",48.35,54.23,197.46,51.76,187.74,68.61,240.4
"ACA1_026840","ACA1_026840","Ser/Thr phosphatase, putative",82.22,88.67,28,62.28,28.96,64.42,35.56
"ACA1_027270","ACA1_027270","hypothetical protein",42.45,36.5,50.58,35.85,43.05,41.1,33.38
"ACA1_027280","ACA1_027280","hypothetical protein",68.17,66.34,9.93,57.65,13.97,56.47,13.91
"ACA1_027390","ACA1_027390","hypothetical protein",122.88,36.42,15.95,40.27,16.53,95.68,6.06
"ACA1_027490","ACA1_027490","calciumtranslocating P-type ATPase, PMCA-type, putative",49,35.77,62.87,61.77,72.13,65.83,54.45
"ACA1_027500","ACA1_027500","hypothetical protein",39.92,42.34,27.58,40.04,33.22,43.64,30.66
"ACA1_027630","ACA1_027630","hypothetical protein",217.56,198.14,304.23,188.03,271.91,179.17,261.23
"ACA1_027750","ACA1_027750","peroxiredoxin, putative",253.66,251.19,324.61,260.69,267.47,242.27,205.1
"ACA1_027830","ACA1_027830","RhoGEF domain containing protein",39.82,31.38,35.83,36.73,42.23,36.36,41.66
"ACA1_027840","ACA1_027840","RNA polymerase III RPC4 protein",46.52,53.36,40.22,48.65,43.73,49.82,54.77
"ACA1_028150","ACA1_028150","hypothetical protein",88.79,83.53,97.97,79.13,83.98,81.66,74.82
"ACA1_028540","ACA1_028540","GTP cyclohydrolase I, putative",54.67,58.72,31.07,61.24,36.64,74.82,71.17
"ACA1_028650","ACA1_028650","peroxisomal biogenesis protein Pex19, putative, Peroxisomal biogenesis factor 19, putative",64.8,68,25.64,60.24,36.16,53.5,41.32
"ACA1_028670","ACA1_028670","protein phosphatase 6, catalytic subunit isoform a, putative",838.75,875.21,1065.7,706.01,1196.93,718.16,1318.44
"ACA1_029520","ACA1_029520","hypothetical protein",170.28,147.04,210.05,148.41,281.24,177.97,171.59
"ACA1_029530","ACA1_029530","hypothetical protein",140.03,123.7,68.81,139.4,104.74,149.37,62.32
"ACA1_030750","ACA1_030750","hypothetical protein",44.85,50.41,20.36,35.06,22.53,30.23,28.82
"ACA1_030760","ACA1_030760","hypothetical protein",84.03,91.56,48.11,75.78,52.36,78.57,60.87
"ACA1_031660","ACA1_031660","catalase",129.12,139.94,177.72,159.22,182.42,169.49,173.57
"ACA1_031780","ACA1_031780","nuclear RNase Z, putative",40.67,22.16,30.84,19.9,6.29,35.32,4.18
"ACA1_031870","ACA1_031870","tyrosine specific protein phosphatase, putative",68.59,71.76,118.52,61.15,92.46,60.77,81.89
"ACA1_031900","ACA1_031900","hypothetical protein",55.71,20.11,1777.15,32.97,1676.28,29.33,2478.18
"ACA1_031930","ACA1_031930","hypothetical protein",49.26,41.34,48.53,41.84,64.82,41.38,63.35
"ACA1_031940","ACA1_031940","hypothetical protein",102.74,82.25,272.81,42.16,333.08,70.53,262.91
"ACA1_031980","ACA1_031980","hypothetical protein",72.28,99.49,249.76,89.24,247.5,97.46,326.55
"ACA1_032000","ACA1_032000","hypothetical protein",87.43,82.41,100.26,85.07,92.7,89.3,122.89
"ACA1_033550","ACA1_033550","methionine aminopeptidase, type II, putative",43.52,42.92,17.95,43.37,24.26,42.51,24.23
"ACA1_033570","ACA1_033570","methionine aminopeptidase, type II, putative",62.45,63.43,21.25,60.07,20.44,57.86,23.84
"ACA1_033610","ACA1_033610","sortilin, putative",59.14,54.55,62.85,55.24,75.55,58.92,105.05
"ACA1_033630","ACA1_033630","hypothetical protein",43.53,35.34,16.32,41.65,25.09,38.52,22.72
"ACA1_033660","ACA1_033660","5'-nucleotidase, C-terminal domain containing protein",41.28,34.39,42.15,39.68,31.22,38.27,29.11
"ACA1_033720","ACA1_033720","hypothetical protein",158.94,168.98,90.35,160.86,91.59,155.82,77.81
"ACA1_034050","ACA1_034050","EF hand domain containing protein",76.19,78.19,4.78,70.34,13.73,63.6,24
"ACA1_034510","ACA1_034510","Rho family, small GTP binding protein Rac3, putative",476.51,506.11,726.3,452.92,797.41,486.47,748.29
"ACA1_034540","ACA1_034540","ribosomal protein S13p/S18e, putative",4828.46,4947.11,4333.9,4575.57,3636.48,4518.21,3609.29
"ACA1_034550","ACA1_034550","ribosomal protein S10p/S20e, putative",3467.41,3863.38,3299.05,3716.23,2704.2,3818.03,2733.87
"ACA1_034610","ACA1_034610","hypothetical protein",45.28,33.37,146.44,47.81,197.78,52.34,113.21
"ACA1_035260","ACA1_035260","Guanine nucleotidebinding protein G(o), alpha subunit, putative",74.13,61.89,57.09,67.23,81.96,63.04,81.55
"ACA1_035290","ACA1_035290","hypothetical protein",41.87,24.58,9.58,37.04,19.9,29.06,29.86
"ACA1_035340","ACA1_035340","hypothetical protein",77.12,50.43,220.15,62.98,311.9,69.64,412.62
"ACA1_035360","ACA1_035360","actin binding protein",2477.28,2605.91,1914.66,2332.24,1469.01,2502.43,790.98
"ACA1_035380","ACA1_035380","peptidylprolyl isomerase H, putative",185.62,180.41,167.36,170.42,248.49,171.3,277.88
"ACA1_035450","ACA1_035450","opposite strand transcription unit to Stag3, putative",41.46,40.2,16.53,41.9,3.48,36.76,4.52
"ACA1_035510","ACA1_035510","hypothetical protein",73.15,72.97,147.27,61.36,89.14,54.82,69.05
"ACA1_035520","ACA1_035520","SterolC5-desaturase",177.48,152.24,135.48,215.51,134.38,244.36,130.28
"ACA1_035530","ACA1_035530","oxidoreductase domain containing protein",40.17,38.78,37.27,35.5,33.2,37.56,37.57
"ACA1_035560","ACA1_035560","short chain dehydrogenase/reductase family oxidoreductase",48.32,50.5,25.25,48.29,31.73,54.38,31.6
"ACA1_035570","ACA1_035570","RNAbinding protein, putative",49.88,48.15,28.18,43.72,23.33,42.1,25.46
"ACA1_035580","ACA1_035580","hypothetical protein",127.94,122.4,185.21,132.82,258,133.56,238.84
"ACA1_036030","ACA1_036030","RAB4, putative",45.54,31.78,44.21,41.45,59.79,38.3,57.27
"ACA1_036040","ACA1_036040","ribosomal protein S7e, putative",2343.02,2540.41,2010.21,2408.37,1228.68,2505.7,1074.28
"ACA1_036220","ACA1_036220","hypothetical protein",117.78,118.04,122.66,92.6,133.22,95.89,102.55
"ACA1_036260","ACA1_036260","flavocytochrome c subfamily protein",74.88,66.96,39.6,87.36,32.51,114.09,36.81
"ACA1_036280","ACA1_036280","actin-1, putative",315.72,353.88,964.06,263.56,630.96,313.78,356.4
"ACA1_036330","ACA1_036330","Centractin, putative",77.43,74.34,75.23,71.07,55.83,65.43,57.77
"ACA1_036340","ACA1_036340","serine hydroxymethyltransferase",64.59,62.78,26.52,72.55,20.3,73.94,24.08
"ACA1_036400","ACA1_036400","profilin, putative",2271.29,3263.49,2325.15,2703.35,1385.28,2933.71,815.17
"ACA1_036420","ACA1_036420","calponin domain containing protein",360.99,319.86,645.3,324.6,580.76,289.03,526.53
"ACA1_036890","ACA1_036890","Ras subfamily protein",45.74,41.46,49.27,34.28,70.41,35.97,67.33
"ACA1_036900","ACA1_036900","UDPglucose pyrophosphorylase 2 isoform, putative",244.12,199.17,170.6,253.37,86.11,307.4,82.5
"ACA1_036970","ACA1_036970","hypothetical protein",95.26,82.85,51.39,95.52,74.54,99.05,101.37
"ACA1_036990","ACA1_036990","peptidase M20, putative",321.35,279.38,356.56,307.6,404.71,269.24,386.9
"ACA1_037000","ACA1_037000","hypothetical protein",135.71,187.01,33.65,209.77,78.32,251.94,117.12
"ACA1_037010","ACA1_037010","Lglutamine synthetase",455.82,624.37,78.58,580.81,7.08,742.94,17.51
"ACA1_037020","ACA1_037020","Glutamine synthetase",449.79,607.72,75.64,538.3,6.9,683.78,17.18
"ACA1_037070","ACA1_037070","dienelactone hydrolase family protein",131.56,129.53,59.21,128.58,50.2,119.71,48.83
"ACA1_037080","ACA1_037080","ABC transporter, ATPbinding domain containing protein",132.75,151.46,32.13,146.49,34.87,148.27,36.46
"ACA1_037110","ACA1_037110","hypothetical protein",116.17,142.36,2.86,117.01,5.37,126.99,9.09
"ACA1_037120","ACA1_037120","COMM domain containing protein 2, putative",161.36,128.17,76.37,127.54,166.33,123.62,232.29
"ACA1_037190","ACA1_037190","aminotransferase, class V, putative",89.49,89.59,145.23,72.49,146.03,71.05,152.4
"ACA1_037200","ACA1_037200","hypothetical protein",427.64,393.87,229.59,387.43,208.75,341.44,161
"ACA1_037450","ACA1_037450","hypothetical protein",69.39,62.59,57.08,46.16,115.69,50.44,85.65
"ACA1_037460","ACA1_037460","ubiquinolcytochrome c reductase complex 14 kDa protein",1576.39,1527.56,932.47,1540.63,1094.88,1276.09,1075.12
"ACA1_037700","ACA1_037700","GTPase activating protein, putative",47.79,49.81,54.57,43.49,53.02,44.87,50.48
"ACA1_037740","ACA1_037740","hypothetical protein",65.63,55.54,37.44,66.79,39.53,68.26,49.11
"ACA1_037790","ACA1_037790","hypothetical protein",68.09,55.47,138.09,42.86,205.64,56.77,274.99
"ACA1_037800","ACA1_037800","hypothetical protein",63.39,64.81,98.36,66.06,97.36,69.84,98.92
"ACA1_037910","ACA1_037910","hypothetical protein",112.79,100.03,120.56,117.65,162.99,115.02,151.58
"ACA1_037920","ACA1_037920","WD repeatcontaining protein",54.6,58.87,0.37,48.58,0.65,40.18,0.8
"ACA1_037930","ACA1_037930","hypothetical protein",176.43,139.73,143.17,156.51,165.68,145.85,144.34
"ACA1_038130","ACA1_038130","ribosomal protein L35Ae, putative",5622.23,5750.25,4665.06,5842.32,3481.84,5149.95,3413.98
"ACA1_038170","ACA1_038170","hypothetical protein",293.13,279.62,181.5,262.97,313.88,238.48,352.04
"ACA1_038180","ACA1_038180","FHA domain containing protein",39.68,35.51,50.31,36.99,49.16,40.36,46.53
"ACA1_038230","ACA1_038230","START domain containing protein",145.29,132.25,253.1,129.6,465.02,131.44,665.23
"ACA1_038270","ACA1_038270","hypothetical protein",78.97,77.61,442.77,48.36,524.25,61.48,549.34
"ACA1_038280","ACA1_038280","splicing factor 3b subunit 3, putative",75.45,79,66.87,78.37,52.09,80.83,45.62
"ACA1_038300","ACA1_038300","GCN5 family protein 1 (GCN5L1) protein",113.92,110.68,109.64,103.61,117.03,99.53,142.54
"ACA1_038360","ACA1_038360","kelch repeatcontaining protein",87.85,87.73,118.15,90.08,129.67,90.21,97.77
"ACA1_038380","ACA1_038380","dynein light chain 1, cytoplasmic, putative",178.99,163.57,263.08,155.45,244.22,137.13,277.62
"ACA1_038420","ACA1_038420","succinylglutamate desuccinylase/aspartoacylase, putative",51.32,65.1,34.09,57.54,14.38,58.54,20.03
"ACA1_038430","ACA1_038430","hypothetical protein",125.95,146.18,77.29,129.3,36.87,161.02,29.12
"ACA1_038460","ACA1_038460","Actin1",2761.49,2950.79,3755,2736.72,2389.95,3112,1337.95
"ACA1_038490","ACA1_038490","asparagine synthase (glutaminehydrolyzing), putative",117.87,109.32,36.67,137.02,2.64,189.54,1.85
"ACA1_038500","ACA1_038500","mitochondrial import inner membrane translocase subunit tim16, putative",62.63,139.65,10.24,124.23,11.46,112.45,20.94
"ACA1_038540","ACA1_038540","Ubiquitinconjugating enzyme subfamily protein",57.78,59.1,58.11,53.56,44.9,55.45,48.93
"ACA1_039330","ACA1_039330","Roadblock/LC7 domain containing protein",246.14,223.35,121.03,218.59,160.49,184.99,176.87
"ACA1_039460","ACA1_039460","replication factor C (activator 1) 3, putative",78.91,26.55,3.16,71.4,4.2,57.81,5.75
"ACA1_039490","ACA1_039490","YCIIrelated domain containing protein",70.12,71.69,69.48,63.75,73.81,69.85,80.98
"ACA1_039630","ACA1_039630","Fbox domain containing protein",84.16,73.85,95.08,64.54,83.36,64.72,69.64
"ACA1_039660","ACA1_039660","NAD+ dependent glutamate dehydrogenase",244.4,195.03,172.49,287.13,355.2,252.03,430.2
"ACA1_040440","ACA1_040440","hypothetical protein",48.02,44.99,46.61,47.12,63.43,52.91,65.13
"ACA1_040460","ACA1_040460","Protein disulfideisomerase, putative",111.01,97.62,189.46,132.49,212.08,129.86,263.23
"ACA1_040470","ACA1_040470","leukotriene A4 hydrolase/aminopeptidase",114.13,120.97,123.46,130.23,140.66,126.27,164.87
"ACA1_040520","ACA1_040520","golgi family protein, putative",68.05,72.71,122.53,71.74,110.7,79.18,118.54
"ACA1_040530","ACA1_040530","glycerol-3-phosphate dehydrogenase family protein",56.92,75.38,31.36,75.34,14.81,56.31,16.92
"ACA1_040710","ACA1_040710","ATP-dependent metallopeptidase HflB subfamily protein",55.87,57.25,32.88,53.9,17.55,56.6,19.42
"ACA1_040750","ACA1_040750","transporter, permease",51.09,53.59,88.88,41.85,100.55,44.64,109.37
"ACA1_040760","ACA1_040760","SNF7 family protein",66.1,64.43,101.69,53.4,129.08,57.82,121.87
"ACA1_040800","ACA1_040800","oxidoreductase, short chain dehydrogenase/reductase, putative",49.35,46.58,37.84,48.84,47.38,49.18,46.62
"ACA1_040810","ACA1_040810","hypothetical protein",1709.29,1728.38,1532.47,1930.83,1707.32,2085.35,1654.25
"ACA1_040820","ACA1_040820","hypothetical protein",49.23,44.97,53.26,44.13,59.45,38.48,60.17
"ACA1_040830","ACA1_040830","ubiquitinconjugating enzyme protein E2, putative",107.91,135.04,207.38,107.9,154.19,126.32,134.98
"ACA1_040840","ACA1_040840","programmed cell death 6 interacting protein, putative",48.79,39.27,81.15,42.69,90.36,43.56,96.82
"ACA1_040850","ACA1_040850","NADH dehydrogenase, putative",350.95,368.41,278.8,357.54,262.19,353.58,255.74
"ACA1_040860","ACA1_040860","DNA replication factor C complex subunit 2, putative",52.27,18.2,0.55,49.48,1.41,37.45,2.56
"ACA1_041770","ACA1_041770","hypothetical protein",42.7,18.94,6.11,39.96,11.82,31.77,19.38
"ACA1_041790","ACA1_041790","ornithine/lysine/arginine decarboxylase",50.39,48.7,15.18,49.15,6.42,66.18,7.75
"ACA1_041900","ACA1_041900","LNS2 (Lipin/Ned1/Smp2) protein",44.25,47.08,33.37,42.96,41.99,40.54,43.46
"ACA1_041920","ACA1_041920","deoxyribonuclease II, putative",55.56,42.52,2.74,47.73,10.39,53.56,5.31
"ACA1_041930","ACA1_041930","hypothetical protein",157.04,136.54,73.15,131.63,75.28,123.76,111.78
"ACA1_041940","ACA1_041940","Deoxyribonuclease II, putative",135.54,109.93,64.59,116.73,66.05,113.99,99.3
"ACA1_041960","ACA1_041960","Osmotically inducible protein C, putative",67.08,66.17,72.88,61.09,69.27,57.76,74.4
"ACA1_042000","ACA1_042000","snRNP core protein SMX5d, putative",153.68,135.69,104.93,136.37,112.93,130.75,111.01
"ACA1_042250","ACA1_042250","Phosphoglucomutase, putative",125.44,123.99,203.35,121.54,43.63,149.08,44.96
"ACA1_042320","ACA1_042320","hydroxyisourate hydrolase",72.55,77.99,53.81,71.31,52.12,72.64,47.79
"ACA1_042680","ACA1_042680","cleavage and polyadenylation specific factor 5, putative",58.18,52.76,52.14,54.73,43.64,56.35,46.31
"ACA1_042870","ACA1_042870","Dual specificity protein kinase",51.66,51.15,79.22,40.33,88.71,42.85,88.33
"ACA1_043170","ACA1_043170","hypothetical protein",456.16,542.75,526.66,344.19,659.82,303.57,705.97
"ACA1_043180","ACA1_043180","tetratricopeptide repeat domain containing protein",85.28,69.06,137.47,59.28,224.75,95.2,144.74
"ACA1_043200","ACA1_043200","peroxisomal D3,D2enoyl-CoA isomerase",145.77,144.59,171.14,162.42,173.25,178.71,162.24
"ACA1_043260","ACA1_043260","long chain acylcoA synthetase",39.99,38.49,41.75,36.87,38.27,36.88,49.47
"ACA1_043290","ACA1_043290","glutathione stransferase",99.52,159.2,15.91,87.56,5.24,114.81,5.63
"ACA1_043600","ACA1_043600","Peroxiredoxin2F, mitochondrial, putative",272.82,268.85,311.11,284.33,193.5,259.93,142.46
"ACA1_043770","ACA1_043770","hypothetical protein",89.1,78.4,52.29,118.27,73.36,131.48,70.27
"ACA1_044710","ACA1_044710","Serine/threonineprotein kinase",104.75,118.64,106.76,111.33,117.59,116.5,107.68
"ACA1_044750","ACA1_044750","Nacetyltransferase, putative",99.81,100.1,72.67,92.76,122.22,103.46,159.23
"ACA1_044770","ACA1_044770","hypothetical protein",177.29,163.2,150.07,162.83,130.37,165.07,113.7
"ACA1_044900","ACA1_044900","hypothetical protein",53.51,68.99,31.01,46.45,35.19,48.29,40.46
"ACA1_044920","ACA1_044920","hypothetical protein",224.19,215.45,64.9,218.74,63.45,195.01,62.68
