"","GeneId","Descripcion","Ctrl0hr","Encyst1hr","Encyst4hr","Encyst8hr"
"ACA1_027830","ACA1_027830","RhoGEF domain containing protein",39.82,35.83,42.23,41.66
"ACA1_027840","ACA1_027840","RNA polymerase III RPC4 protein",46.52,40.22,43.73,54.77
"ACA1_028150","ACA1_028150","hypothetical protein",88.79,97.97,83.98,74.82
"ACA1_028540","ACA1_028540","GTP cyclohydrolase I, putative",54.67,31.07,36.64,71.17
"ACA1_028650","ACA1_028650","peroxisomal biogenesis protein Pex19, putative, Peroxisomal biogenesis factor 19, putative",64.8,25.64,36.16,41.32
"ACA1_028670","ACA1_028670","protein phosphatase 6, catalytic subunit isoform a, putative",838.75,1065.7,1196.93,1318.44
"ACA1_029520","ACA1_029520","hypothetical protein",170.28,210.05,281.24,171.59
"ACA1_029530","ACA1_029530","hypothetical protein",140.03,68.81,104.74,62.32
"ACA1_030750","ACA1_030750","hypothetical protein",44.85,20.36,22.53,28.82
"ACA1_030760","ACA1_030760","hypothetical protein",84.03,48.11,52.36,60.87
"ACA1_031660","ACA1_031660","catalase",129.12,177.72,182.42,173.57
"ACA1_031780","ACA1_031780","nuclear RNase Z, putative",40.67,30.84,6.29,4.18
"ACA1_031870","ACA1_031870","tyrosine specific protein phosphatase, putative",68.59,118.52,92.46,81.89
"ACA1_031900","ACA1_031900","hypothetical protein",55.71,1777.15,1676.28,2478.18
"ACA1_031930","ACA1_031930","hypothetical protein",49.26,48.53,64.82,63.35
"ACA1_031940","ACA1_031940","hypothetical protein",102.74,272.81,333.08,262.91
"ACA1_031980","ACA1_031980","hypothetical protein",72.28,249.76,247.5,326.55
"ACA1_032000","ACA1_032000","hypothetical protein",87.43,100.26,92.7,122.89
"ACA1_033550","ACA1_033550","methionine aminopeptidase, type II, putative",43.52,17.95,24.26,24.23
"ACA1_033570","ACA1_033570","methionine aminopeptidase, type II, putative",62.45,21.25,20.44,23.84
"ACA1_033610","ACA1_033610","sortilin, putative",59.14,62.85,75.55,105.05
"ACA1_033630","ACA1_033630","hypothetical protein",43.53,16.32,25.09,22.72
"ACA1_033660","ACA1_033660","5'-nucleotidase, C-terminal domain containing protein",41.28,42.15,31.22,29.11
"ACA1_033720","ACA1_033720","hypothetical protein",158.94,90.35,91.59,77.81
"ACA1_034050","ACA1_034050","EF hand domain containing protein",76.19,4.78,13.73,24
"ACA1_034510","ACA1_034510","Rho family, small GTP binding protein Rac3, putative",476.51,726.3,797.41,748.29
"ACA1_034540","ACA1_034540","ribosomal protein S13p/S18e, putative",4828.46,4333.9,3636.48,3609.29
"ACA1_034550","ACA1_034550","ribosomal protein S10p/S20e, putative",3467.41,3299.05,2704.2,2733.87
"ACA1_034610","ACA1_034610","hypothetical protein",45.28,146.44,197.78,113.21
"ACA1_035260","ACA1_035260","Guanine nucleotidebinding protein G(o), alpha subunit, putative",74.13,57.09,81.96,81.55
"ACA1_035290","ACA1_035290","hypothetical protein",41.87,9.58,19.9,29.86
"ACA1_035340","ACA1_035340","hypothetical protein",77.12,220.15,311.9,412.62
"ACA1_035360","ACA1_035360","actin binding protein",2477.28,1914.66,1469.01,790.98
"ACA1_035380","ACA1_035380","peptidylprolyl isomerase H, putative",185.62,167.36,248.49,277.88
"ACA1_035450","ACA1_035450","opposite strand transcription unit to Stag3, putative",41.46,16.53,3.48,4.52
"ACA1_035510","ACA1_035510","hypothetical protein",73.15,147.27,89.14,69.05
"ACA1_035520","ACA1_035520","SterolC5-desaturase",177.48,135.48,134.38,130.28
"ACA1_035530","ACA1_035530","oxidoreductase domain containing protein",40.17,37.27,33.2,37.57
"ACA1_035560","ACA1_035560","short chain dehydrogenase/reductase family oxidoreductase",48.32,25.25,31.73,31.6
"ACA1_035570","ACA1_035570","RNAbinding protein, putative",49.88,28.18,23.33,25.46
"ACA1_035580","ACA1_035580","hypothetical protein",127.94,185.21,258,238.84
"ACA1_036030","ACA1_036030","RAB4, putative",45.54,44.21,59.79,57.27
"ACA1_036040","ACA1_036040","ribosomal protein S7e, putative",2343.02,2010.21,1228.68,1074.28
"ACA1_036220","ACA1_036220","hypothetical protein",117.78,122.66,133.22,102.55
"ACA1_036260","ACA1_036260","flavocytochrome c subfamily protein",74.88,39.6,32.51,36.81
"ACA1_036280","ACA1_036280","actin-1, putative",315.72,964.06,630.96,356.4
"ACA1_036330","ACA1_036330","Centractin, putative",77.43,75.23,55.83,57.77
"ACA1_036340","ACA1_036340","serine hydroxymethyltransferase",64.59,26.52,20.3,24.08
"ACA1_036400","ACA1_036400","profilin, putative",2271.29,2325.15,1385.28,815.17
"ACA1_036420","ACA1_036420","calponin domain containing protein",360.99,645.3,580.76,526.53
"ACA1_036890","ACA1_036890","Ras subfamily protein",45.74,49.27,70.41,67.33
"ACA1_036900","ACA1_036900","UDPglucose pyrophosphorylase 2 isoform, putative",244.12,170.6,86.11,82.5
"ACA1_036970","ACA1_036970","hypothetical protein",95.26,51.39,74.54,101.37
"ACA1_036990","ACA1_036990","peptidase M20, putative",321.35,356.56,404.71,386.9
"ACA1_037000","ACA1_037000","hypothetical protein",135.71,33.65,78.32,117.12
"ACA1_037010","ACA1_037010","Lglutamine synthetase",455.82,78.58,7.08,17.51
"ACA1_037020","ACA1_037020","Glutamine synthetase",449.79,75.64,6.9,17.18
"ACA1_037070","ACA1_037070","dienelactone hydrolase family protein",131.56,59.21,50.2,48.83
"ACA1_037080","ACA1_037080","ABC transporter, ATPbinding domain containing protein",132.75,32.13,34.87,36.46
"ACA1_037110","ACA1_037110","hypothetical protein",116.17,2.86,5.37,9.09
"ACA1_037120","ACA1_037120","COMM domain containing protein 2, putative",161.36,76.37,166.33,232.29
"ACA1_037190","ACA1_037190","aminotransferase, class V, putative",89.49,145.23,146.03,152.4
"ACA1_037200","ACA1_037200","hypothetical protein",427.64,229.59,208.75,161
"ACA1_037450","ACA1_037450","hypothetical protein",69.39,57.08,115.69,85.65
"ACA1_037460","ACA1_037460","ubiquinolcytochrome c reductase complex 14 kDa protein",1576.39,932.47,1094.88,1075.12
"ACA1_037700","ACA1_037700","GTPase activating protein, putative",47.79,54.57,53.02,50.48
"ACA1_037740","ACA1_037740","hypothetical protein",65.63,37.44,39.53,49.11
"ACA1_037790","ACA1_037790","hypothetical protein",68.09,138.09,205.64,274.99
"ACA1_037800","ACA1_037800","hypothetical protein",63.39,98.36,97.36,98.92
"ACA1_037910","ACA1_037910","hypothetical protein",112.79,120.56,162.99,151.58
"ACA1_037920","ACA1_037920","WD repeatcontaining protein",54.6,0.37,0.65,0.8
"ACA1_037930","ACA1_037930","hypothetical protein",176.43,143.17,165.68,144.34
"ACA1_038130","ACA1_038130","ribosomal protein L35Ae, putative",5622.23,4665.06,3481.84,3413.98
"ACA1_038170","ACA1_038170","hypothetical protein",293.13,181.5,313.88,352.04
"ACA1_038180","ACA1_038180","FHA domain containing protein",39.68,50.31,49.16,46.53
"ACA1_038230","ACA1_038230","START domain containing protein",145.29,253.1,465.02,665.23
"ACA1_038270","ACA1_038270","hypothetical protein",78.97,442.77,524.25,549.34
"ACA1_038280","ACA1_038280","splicing factor 3b subunit 3, putative",75.45,66.87,52.09,45.62
"ACA1_038300","ACA1_038300","GCN5 family protein 1 (GCN5L1) protein",113.92,109.64,117.03,142.54
"ACA1_038360","ACA1_038360","kelch repeatcontaining protein",87.85,118.15,129.67,97.77
"ACA1_038380","ACA1_038380","dynein light chain 1, cytoplasmic, putative",178.99,263.08,244.22,277.62
"ACA1_038420","ACA1_038420","succinylglutamate desuccinylase/aspartoacylase, putative",51.32,34.09,14.38,20.03
"ACA1_038430","ACA1_038430","hypothetical protein",125.95,77.29,36.87,29.12
"ACA1_038460","ACA1_038460","Actin1",2761.49,3755,2389.95,1337.95
"ACA1_038490","ACA1_038490","asparagine synthase (glutaminehydrolyzing), putative",117.87,36.67,2.64,1.85
"ACA1_038500","ACA1_038500","mitochondrial import inner membrane translocase subunit tim16, putative",62.63,10.24,11.46,20.94
"ACA1_038540","ACA1_038540","Ubiquitinconjugating enzyme subfamily protein",57.78,58.11,44.9,48.93
"ACA1_039330","ACA1_039330","Roadblock/LC7 domain containing protein",246.14,121.03,160.49,176.87
"ACA1_039460","ACA1_039460","replication factor C (activator 1) 3, putative",78.91,3.16,4.2,5.75
"ACA1_039490","ACA1_039490","YCIIrelated domain containing protein",70.12,69.48,73.81,80.98
"ACA1_039630","ACA1_039630","Fbox domain containing protein",84.16,95.08,83.36,69.64
"ACA1_039660","ACA1_039660","NAD+ dependent glutamate dehydrogenase",244.4,172.49,355.2,430.2
"ACA1_040440","ACA1_040440","hypothetical protein",48.02,46.61,63.43,65.13
"ACA1_040460","ACA1_040460","Protein disulfideisomerase, putative",111.01,189.46,212.08,263.23
"ACA1_040470","ACA1_040470","leukotriene A4 hydrolase/aminopeptidase",114.13,123.46,140.66,164.87
"ACA1_040520","ACA1_040520","golgi family protein, putative",68.05,122.53,110.7,118.54
"ACA1_040530","ACA1_040530","glycerol-3-phosphate dehydrogenase family protein",56.92,31.36,14.81,16.92
"ACA1_040710","ACA1_040710","ATP-dependent metallopeptidase HflB subfamily protein",55.87,32.88,17.55,19.42
"ACA1_040750","ACA1_040750","transporter, permease",51.09,88.88,100.55,109.37
"ACA1_040760","ACA1_040760","SNF7 family protein",66.1,101.69,129.08,121.87
"ACA1_040800","ACA1_040800","oxidoreductase, short chain dehydrogenase/reductase, putative",49.35,37.84,47.38,46.62
"ACA1_040810","ACA1_040810","hypothetical protein",1709.29,1532.47,1707.32,1654.25
"ACA1_040820","ACA1_040820","hypothetical protein",49.23,53.26,59.45,60.17
"ACA1_040830","ACA1_040830","ubiquitinconjugating enzyme protein E2, putative",107.91,207.38,154.19,134.98
"ACA1_040840","ACA1_040840","programmed cell death 6 interacting protein, putative",48.79,81.15,90.36,96.82
"ACA1_040850","ACA1_040850","NADH dehydrogenase, putative",350.95,278.8,262.19,255.74
"ACA1_040860","ACA1_040860","DNA replication factor C complex subunit 2, putative",52.27,0.55,1.41,2.56
"ACA1_041770","ACA1_041770","hypothetical protein",42.7,6.11,11.82,19.38
"ACA1_041790","ACA1_041790","ornithine/lysine/arginine decarboxylase",50.39,15.18,6.42,7.75
"ACA1_041900","ACA1_041900","LNS2 (Lipin/Ned1/Smp2) protein",44.25,33.37,41.99,43.46
"ACA1_041920","ACA1_041920","deoxyribonuclease II, putative",55.56,2.74,10.39,5.31
"ACA1_041930","ACA1_041930","hypothetical protein",157.04,73.15,75.28,111.78
"ACA1_041940","ACA1_041940","Deoxyribonuclease II, putative",135.54,64.59,66.05,99.3
"ACA1_041960","ACA1_041960","Osmotically inducible protein C, putative",67.08,72.88,69.27,74.4
"ACA1_042000","ACA1_042000","snRNP core protein SMX5d, putative",153.68,104.93,112.93,111.01
"ACA1_042250","ACA1_042250","Phosphoglucomutase, putative",125.44,203.35,43.63,44.96
"ACA1_042320","ACA1_042320","hydroxyisourate hydrolase",72.55,53.81,52.12,47.79
"ACA1_042680","ACA1_042680","cleavage and polyadenylation specific factor 5, putative",58.18,52.14,43.64,46.31
"ACA1_042870","ACA1_042870","Dual specificity protein kinase",51.66,79.22,88.71,88.33
"ACA1_043170","ACA1_043170","hypothetical protein",456.16,526.66,659.82,705.97
"ACA1_043180","ACA1_043180","tetratricopeptide repeat domain containing protein",85.28,137.47,224.75,144.74
"ACA1_043200","ACA1_043200","peroxisomal D3,D2enoyl-CoA isomerase",145.77,171.14,173.25,162.24
"ACA1_043260","ACA1_043260","long chain acylcoA synthetase",39.99,41.75,38.27,49.47
"ACA1_043290","ACA1_043290","glutathione stransferase",99.52,15.91,5.24,5.63
"ACA1_043600","ACA1_043600","Peroxiredoxin2F, mitochondrial, putative",272.82,311.11,193.5,142.46
"ACA1_043770","ACA1_043770","hypothetical protein",89.1,52.29,73.36,70.27
"ACA1_044710","ACA1_044710","Serine/threonineprotein kinase",104.75,106.76,117.59,107.68
"ACA1_044750","ACA1_044750","Nacetyltransferase, putative",99.81,72.67,122.22,159.23
"ACA1_044770","ACA1_044770","hypothetical protein",177.29,150.07,130.37,113.7
"ACA1_044900","ACA1_044900","hypothetical protein",53.51,31.01,35.19,40.46
"ACA1_044920","ACA1_044920","hypothetical protein",224.19,64.9,63.45,62.68
"ACA1_045060","ACA1_045060","MYND finger domain containing protein",47.41,14.57,28.94,35.57
"ACA1_045200","ACA1_045200","porphobilinogen deaminase",73.21,20.11,22.57,27.04
"ACA1_045310","ACA1_045310","Ras GTPase rap1b, putative",1320.38,1402.3,1352.21,1424.96
"ACA1_045370","ACA1_045370","transmembrane protein, putative",70.89,50.57,68.45,101.05
"ACA1_045410","ACA1_045410","acetyltransferase, putative",169.96,17.45,19.41,21.73
"ACA1_045420","ACA1_045420","carrier superfamily protein",43.99,41.38,75.67,97.59
"ACA1_045440","ACA1_045440","ABC2 type transporter, putative",157.11,60.24,110.44,104.09
"ACA1_045450","ACA1_045450","hypothetical protein",319.23,105.14,212.53,199.06
"ACA1_045640","ACA1_045640","hypothetical protein",51.44,53.44,55.02,51.79
"ACA1_046050","ACA1_046050","LIM domain containing protein",349.34,125.1,61.78,41.47
"ACA1_046150","ACA1_046150","cactin, putative",51.88,36.88,33.05,36.81
"ACA1_046430","ACA1_046430","ribosomal protein L20, putative",241.08,34.52,45.98,80.86
"ACA1_046470","ACA1_046470","phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP",347.66,75.89,6.17,8.1
"ACA1_046490","ACA1_046490","iodothyronine deiodinase",46.84,104.68,42.45,41.74
"ACA1_046590","ACA1_046590","enoylCoA hydratase/isomerase, putative",48.72,70.7,99.77,123
"ACA1_046680","ACA1_046680","hypothetical protein",146.34,57.12,51.09,65.13
"ACA1_046700","ACA1_046700","translocase of inner mitochondrial membrane 17, putative",147.76,23.14,59.38,110.88
"ACA1_047650","ACA1_047650","hypothetical protein",114.43,86.56,110.24,94.93
"ACA1_048050","ACA1_048050","hypothetical protein",1923.49,1205.4,1048.71,897.08
"ACA1_048110","ACA1_048110","serine carboxypeptidase s28 protein",84.8,44.99,56.08,67.31
"ACA1_048170","ACA1_048170","hydroxymethylglutarylCoA synthase",541.52,40.11,7.51,9.4
"ACA1_048200","ACA1_048200","proteasome endopeptidase subunit, putative",271.44,1052.9,401.69,278.13
"ACA1_048210","ACA1_048210","ribosomal protein S5, putative",7909.69,7113.98,5572.57,5448.2
"ACA1_048220","ACA1_048220","hypothetical protein",79.72,87.28,91.83,90.04
"ACA1_048250","ACA1_048250","RhoGAP domain containing protein",68.24,137.32,105.4,82.45
"ACA1_048400","ACA1_048400","rieske [2fe2s] domain containing protein",45.04,97.21,79.77,82.48
"ACA1_048410","ACA1_048410","AcylCoA oxidase",42.45,26.89,31.27,40.39
"ACA1_048490","ACA1_048490","alphaCOP, putative",45.48,72.75,61.51,66.57
"ACA1_048530","ACA1_048530","copper/zinc superoxide dismutase",1080.38,1673.59,2025.67,2291.47
"ACA1_048560","ACA1_048560","glutaredoxin, putative",47.23,28.84,29.99,36.31
"ACA1_048650","ACA1_048650","Hsp40, putative",117.14,101.36,90.6,86.16
"ACA1_048860","ACA1_048860","transmembrane amino acid transporter protein",99.24,73.1,71.44,72.14
"ACA1_048880","ACA1_048880","LIM domain containing protein",42.5,3.44,24.22,18.2
"ACA1_049320","ACA1_049320","NADH dehydrogenase, putative",159.08,82.95,63.96,53.29
"ACA1_049990","ACA1_049990","aldehyde dehydrogenase (NAD) family superfamily protein",66.19,114.05,113.04,134.92
"ACA1_050180","ACA1_050180","oxidoreductase, aldo/keto reductase, putative",195.1,24.23,6.48,4.61
"ACA1_050350","ACA1_050350","major facilitator family transporter, putative",50.15,105.47,96.07,114.14
"ACA1_050360","ACA1_050360","2,3bisphosphoglycerate-independent phosphoglycerate mutase-like protein",73.69,82.23,73.49,71.21
"ACA1_050450","ACA1_050450","LIM domain containing protein",47.66,54.3,36.74,31.57
"ACA1_050510","ACA1_050510","thioesterase family protein",56.82,155.69,160.81,209.07
"ACA1_050870","ACA1_050870","RNA recognition motif domain containing protein",126.11,41.81,54.54,68.17
"ACA1_051490","ACA1_051490","Cysteine proteinase 5, putative",71.96,27.48,331.66,426.22
"ACA1_051550","ACA1_051550","phenylalanine hydroxylase",98.33,208.58,232.95,272.86
"ACA1_051690","ACA1_051690","methionineR-sulfoxide reductase",119.76,42.43,35.05,33.71
"ACA1_051820","ACA1_051820","ubiquitin family protein",751.05,1185.41,1521.21,1388.74
"ACA1_051830","ACA1_051830","mitotic spindle checkpoint protein MAD2, putative",232.11,12.3,11.68,17.69
"ACA1_051850","ACA1_051850","translation elongation factor Tu, putative",764.71,141.31,79.65,99.32
"ACA1_051870","ACA1_051870","serine/threonine kinase 24, putative",94.16,111.04,102.11,99.89
"ACA1_051880","ACA1_051880","autophagy protein 8 (ATG8), putative",180.95,557.41,593.87,666.35
"ACA1_052250","ACA1_052250","acetylCoA carboxylase, biotin carboxylase subunit, putative",53.86,34.2,56.51,53.8
"ACA1_052590","ACA1_052590","PeptidyltRNA hydrolase PTH2 domain containing protein",46.62,68.6,88.16,105.69
"ACA1_052610","ACA1_052610","hypothetical protein",105.75,218.96,190.39,133.38
"ACA1_052660","ACA1_052660","hypothetical protein",90.48,172.72,210.13,219.58
"ACA1_052710","ACA1_052710","PAP2 superfamily domain containing protein",45.28,52.89,36.52,37.86
"ACA1_052840","ACA1_052840","lipoprotein, putative",90.46,90.18,230.05,178.1
"ACA1_052880","ACA1_052880","hypothetical protein",52.93,1.01,0.05,0.16
"ACA1_053240","ACA1_053240","phosphoglycerate kinase",655.56,678.27,370.73,278.72
"ACA1_053260","ACA1_053260","DCN1 family protein 4, putative",55.35,124.47,155.89,177.63
"ACA1_053290","ACA1_053290","Vtype ATPase, C subunit",935.79,268.81,723.75,948.68
"ACA1_053300","ACA1_053300","prolyl oligopeptidase",68.39,320.9,120.04,87.39
"ACA1_053340","ACA1_053340","cytoplasmic dynein 1 light intermediate chain 1, putative",56.79,52.47,52.89,55.96
