"","PDescription","TPM_Basal"
"108","hypothetical protein",3.09
"109","hypothetical protein",0.09
"110","5'3' exoribonuclease 2, putative",4.41
"111","hypothetical protein",0.11
"112","hypothetical protein",6.1
"113","DOMON domain containing protein",0.55
"114","RasGEF domain containing protein",17.04
"115","protein kinase domain containing protein",10.51
"116","PH domain containing protein",15.11
"117","GTPase cRac1B, putative",11.33
"118","Vtype ATPase, G subunit",825.58
"119","peptidase, S54 (rhomboid) subfamily protein",33.04
"120","hypothetical protein",32.83
"121","hypothetical protein",23.98
"122","hypothetical protein",0.95
"123","hypothetical protein",1.14
"124","GTPase family e4 protein, putative",0.51
"125","hypothetical protein",0.15
"126","hypothetical protein",3.23
"127","Multicopper oxidase, type 2",0.01
"128","hypothetical protein",0.15
"129","hypothetical protein",44.47
"130","serine/threonine protein kinase",12.62
"131","Serine/threonineprotein kinase",12.55
"132","calponin domain containing protein",14.27
"133","hypothetical protein",0.03
"134","glucose repression mediator protein",62.9
"135","hypothetical protein",71.35
"136","glutamate-tRNA ligase",105.13
"137","Ophosphoseryl-tRNA(Sec) selenium transferase",22.81
"138","acylCoA dehydrogenase, putative",58.95
"139","acylCoA oxidase",58.73
"140","hypothetical protein",15.7
"141","SnoaL family polyketide cyclase",9.23
"142","hypothetical protein",11.74
"143","hypothetical protein",7.7
"144","DUF410 family protein",27.88
"145","hypothetical protein",5.03
"146","hypothetical protein",3.7
"147","hypothetical protein",0.23
"148","Fbox domain and Ankyrin repeat containing protein",0.16
"149","hypothetical protein",0.05
"150","hypothetical protein",0.87
"151","hypothetical protein",0.34
"152","hypothetical protein",7.09
"153","eIF4gamma/eIF5/eIF2-epsilon domain containing protein",11.94
"154","replication protein A2 family protein, putative",70.97
"155","myosin I heavy chain kinase",68.04
"156","UDPglucoronosyl and UDP-glucosyl transferase superfamily protein",0.57
"157","ATPase, AAA domain containing protein",11.87
"158","hypothetical protein",0.05
"159","RhoGEF domain containing protein",12.26
"160","hypothetical protein",0.97
"161","AT hook motif domain containing protein",2.96
"162","hypothetical protein",6.93
"163","hypothetical protein",36.47
"164","hypothetical protein",22.18
"165","LIM domain containing protein",46.33
"166","helicase, putative",3.74
"167","protein kinase, putative",0.14
"168","hypothetical protein",64.63
"169","aldehyde dehydrogenase",144.63
"170","cobalamin synthesis protein/P47K",1.97
"171","hypothetical protein",40.91
"172","hypothetical protein",11.24
"173","biogenesis of lysosome related family protein",41.36
"174","WD domain, G-beta repeat-containing protein",24.82
"175","hypothetical protein",49.41
"176","Gprotein-coupled receptor (GPCR) family protein",45.36
"177","FAD dependent oxidoreductase",0.69
"178","hypothetical protein",53.8
"179","CBS domain containing protein",85.15
"180","Endonuclease/Exonuclease/phosphatase, putative",39
"181","ATPdependent DNA helicase, RecQ subfamily protein",22.35
"182","hypothetical protein",103.56
"183","hypothetical protein",2.26
"184","RasGEF",11.9
"185","hypothetical protein",13.02
"186","hypothetical protein",2.23
"187","PH domain containing protein",23.43
"188","hypothetical protein",2.13
"189","hypothetical protein",12.96
"190","hypothetical protein",11
"191","ribosome biogenesis GTPase YqeH, putative",15.66
"192","glucan (1,4alpha-), branching enzyme 1, putative",244.1
"193","amidohydrolase",18.72
"194","amidohydrolase",26.74
"195","nucleotidyltransferase domain containing protein",7.45
"196","protein phosphatase 3, catalytic subunit, beta isoform, putative",45.71
"197","calcineurin subunit a, putative",35.85
"198","hydrolase, NUDIX, putative",53.46
"199","hypothetical protein",9.72
"200","hypothetical protein",12.08
"201","copper chaperone Atox1, putative",238.52
"202","hypothetical protein",0.04
"203","succinateCoA ligase, GDP-forming, beta subunit, putative",432.96
"204","hypothetical protein",5.9
"205","protein kinase",15.05
"206","protein kinase",0.1
"207","cytochrome b5 family protein",216.22
"208","hypothetical protein",3.61
"209","calcium/calmodulindependent protein kinase",61.8
"210","catalase",6.13
"211","nuclear movement protein nudC, putative",53.17
"212","hypothetical protein",20.43
"213","protein kinase domain containing protein",18.07
"214","tetratricopeptide repeat domain containing protein",9.49
"215","hypothetical protein",1.81
"216","hypothetical protein",19.62
"217","Doublestranded RNA binding motif domain containing protein",13.22
"218","cyclin, Nterminal domain containing protein",81.64
"219","hypothetical protein",0.79
"220","hypothetical protein",2.02
"221","tRNA phosphotransferase 1 isoform 1, putative",24.61
"222","alkylation repair protein, putative",1.81
"223","hypothetical protein",11.31
"224","hypothetical protein",3.71
"225","myotubularin family protein",0.86
"226","MYND finger domain containing protein",15.98
"227","RhoGEF domain containing protein",14.38
"228","hypothetical protein",23.82
"229","CBS domain containing protein",1155.51
"230","hypothetical protein",3.95
"231","dihydrodipicolinate synthetase, putative",64.04
"232","hypothetical protein",12.37
"233","hypothetical protein",0.58
"234","hypothetical protein",23.41
"235","hypothetical protein",11.54
"236","hypothetical protein",15.84
"237","aldehyde dehydrogenase",146.85
"238","replication factora protein 1 (rpa1) subfamily protein",8.45
"239","hypothetical protein",2.47
"240","hypothetical protein",19.85
"241","reverse transcriptase",3.53
"242","hypothetical protein",15.11
"243","hypothetical protein",27.93
"244","kelch motif family protein",7.17
"245","hypothetical protein",7.58
"246","hypothetical protein",1.5
"247","SPRY domain containing protein",1.95
"248","hypothetical protein",1.86
"249","hypothetical protein",0.05
"250","hypothetical protein",7.05
"251","hypothetical protein",27.39
"252","hypothetical protein",42.93
"253","hypothetical protein",14.38
"254","hypothetical protein",0.55
"255","hypothetical protein",4.04
"256","hypothetical protein",3.08
"257","hypothetical protein",1.44
"258","hypothetical protein",1.02
"259","hypothetical protein",299.84
"260","sphingosine kinase, putative",154.68
"261","integrator complex subunit 9, putative",8.51
"262","hypothetical protein",4.49
"263","Exonuclease ii, putative",62.3
"264","hypothetical protein",0.17
"265","ABC2 type transporter superfamily protein",0.4
"266","hypothetical protein",0.1
"267","hypothetical protein",8.31
"268","hypothetical protein",5.44
"269","betalactamase",0.64
"270","hypothetical protein",47.2
"271","hypothetical protein",504.03
"272","leucine-tRNA ligase",26.23
"273","Rap/ran-GAP protein",3.09
"274","helicase associated domain containing protein",10.65
"275","cell cycle control protein",110.26
"276","signal recognition particle 68 kDa protein",111.64
"277","ATPase, AAA domain containing protein",92.93
"278","fibronectin type III domain containing protein",7.33
"279","hypothetical protein",22.55
"280","hypothetical protein",16.23
"281","hypothetical protein",3.71
"282","Fbox domain containing protein",4.88
"283","hypothetical protein",9.65
"284","lipoprotein, putative",12.47
"285","papain family cysteine protease subfamily protein",60.67
"286","hypothetical protein",16.4
"287","GTP cyclohydrolase II, putative",29.28
"288","Subunit of DNA polymerase II",7.66
"289","hypothetical protein",28.54
"290","hypothetical protein",34.05
"291","hypothetical protein",8.02
"292","hypothetical protein",24.8
"293","(NmrA-like), putative",3.43
"294","regulator of chromosome condensation (RCC1) repeat domain containing protein",42.28
"295","kinase isozyme 4, mitochondrial precursor, putative",3.58
"296","hypothetical protein",0.01
"297","hypothetical protein",0.08
"298","Oxysterolbinding protein, putative",0.69
"299","lipase/esterase, putative",4.57
"300","hypothetical protein",3.46
"301","hypothetical protein",2.71
"302","amidohydrolase family protein",23.32
"303","transporter, major intrinsic protein (MIP) superfamily protein",4.19
"304","phosphorylase kinase alpha subunit",31.05
"305","FGGAP repeat domain containing protein",53.33
"306","superoxide dismutase [cu-zn], putative",41.24
"307","copper/zinc superoxide dismutase",1.87
"308","kinesin motor domain containing protein",8.3
"309","hypothetical protein",0.11
"310","hypothetical protein",0.29
"311","cytochrome p450 superfamily protein",37.61
"312","FHA domain containing protein",26.52
"313","Ras association (RalGDS/AF6) domain containing protein",23.23
"314","CCCH zinc finger protein, putative",7.96
"315","DSS1/SEM1 family protein",172.13
"316","hypothetical protein",6.02
"317","major vault protein",110.45
"318","SWIRM domain containing protein",20.21
"319","hypothetical protein",2.61
"320","cleavage stimulation factor 64kDa subunit",15
"321","Sec1 family protein",3.17
"322","Prokumamolisin, activation domain containing protein",11.58
"323","hypothetical protein",22.33
"324","ADPribosylarginine hydrolase",9.33
"325","exocyst complex component 5, putative",10.32
"326","hypothetical protein",251.55
"327","multisensor hybrid histidine kinase",24.33
"328","Longchain-fatty-acid--CoA ligase 1, putative",47.22
"329","hypothetical protein",3.09
"330","tetratricopeptide repeat domain containing protein",5.3
"331","TATAbox-binding protein",70.61
"332","amino acid permease, putative",13.37
"333","RasGEF domain containing protein",5.07
"334","mitochondrial ribosomal protein, L38, putative",153.68
"335","large conductance mechanosensitive channel protein",18.2
"336","protozoan/cyanobacterial globin family subfamily protein",50.23
"337","Fbox domain containing protein",7.81
"338","RhoGEF domain containing protein",14.89
"339","hypothetical protein",0.24
"340","dual specificity phosphatase, catalytic domain containing protein",22.66
"341","Ankyrin repeat and Fbox domain containing protein",0.93
"342","Armadillo/betacatenin-like repeat domain containing protein",17.39
"343","hypothetical protein",0.55
"344","hypothetical protein",0.46
"345","hypothetical protein",0.8
"346","hypothetical protein",1.04
"347","FGGAP repeat domain containing protein",2.33
"348","hypothetical protein",0.17
"349","Vesicle docking family protein",27.73
"350","hypothetical protein",133.36
"351","hypothetical protein",4.92
"352","CXCXC repeat protein",0.01
"353","hypothetical protein",0.15
"354","Ankyrin repeat RhoGAP domain containing protein",20.19
"355","hypothetical protein",0.04
"356","hypothetical protein",154.4
"357","hypothetical protein",1.6
"358","AcetylCoA carboxylase, carboxyltransferase component, putative",318.93
"359","carbamoylphosphate synthase L chain, ATP-binding, putative",386.49
"360","hypothetical protein",0.08
"361","hypothetical protein",0.19
"362","hypothetical protein",30.12
"363","hypothetical protein",5.46
"364","hypothetical protein",0.12
"365","Leucine rich repeat containing protein",14.5
"366","H(+)-transporting atpase family protein",663.08
"367","hypothetical protein",4.04
"368","cathepsin Blike cysteine proteinase",1.37
"369","hypothetical protein",1.82
"370","hypothetical protein",0.01
"371","hypothetical protein",0.01
"372","hypothetical protein",32.77
"373","hypothetical protein",0.01
"374","hypothetical protein",2.93
"375","hypothetical protein",3.71
"376","ALG3 protein",25.04
"377","hypothetical protein",4.62
"378","eukaryotic initiation factor 5a, putative",7096.97
"379","nuclease domain containing protein",184.48
"380","hypothetical protein",16.07
"381","hypothetical protein",0.04
"382","tyrosine kinase, putative",25.26
"383","hypothetical protein",14.08
"384","peptidase, putative",73.1
"385","Mitochondrial 39S ribosomal protein L47",117
"386","SAM domain (Sterile alpha motif) domain containing protein",168.07
"387","hypothetical protein",0.25
"388","hypothetical protein",5.36
"389","RGP1 retrograde golgi transport protein, putative",14.24
"390","RhoGAP domain containing protein",11.14
"391","hypothetical protein",0.14
"392","WD domain, G-beta repeat-containing protein",26.87
"393","Zn fingercontaining protein",20.47
"394","hypothetical protein",31.02
"395","serine/threonine kinase",68.83
"396","jumonji domain containing 8, putative",0.81
"397","mitochondrial carrier protein",69.31
"398","hypothetical protein",0.42
"399","WD domain, G-beta repeat-containing protein",23.16
"400","DnaJ family protein",29.94
"401","purinergic receptor, putative",91.73
"402","subtilisin, putative",208.12
"403","Yip1 domain containing protein",105.79
"404","hypothetical protein",0.61
"405","Cell division cycle 7related protein kinase",12.04
"406","hypothetical protein",16.87
"407","hypothetical protein",0.99
"408","myosin1, putative",55.69
"409","hypothetical protein",15.79
"410","hypothetical protein",132.41
"411","serine/threonineprotein kinase",30.55
"412","TatD DNase domain containing 1, putative",10.13
"413","hypothetical protein",4.51
"414","hypothetical protein",14.01
"415","hypothetical protein",1.14
"416","amine oxidase, flavincontaining superfamily protein",10.46
"417","hypothetical protein",0.02
"418","hypothetical protein",10.23
"419","hypothetical protein",0.15
"420","RhoGAP domain containing protein",9.31
"421","hypothetical protein",4.74
"422","serine/threonine protein kinase",8.43
"423","talin, putative",59.18
"424","von Willebrand factor type A domain containing protein",0.46
"425","hypothetical protein",38.22
"426","L1P family protein",3.75
"427","hypothetical protein",3.77
"428","hypothetical protein",154.84
"429","DOMON domain containing protein",21.04
"430","hypothetical protein",91.07
"431","Fibrillarin, putative",2069.56
"432","DHHC zinc finger domain containing protein",11.08
"433","ubiquitin domain containing protein",16.74
"434","Hypothetical protein",26.6
"435","hypothetical protein",373.38
"436","hypothetical protein",0.1
"437","hypothetical protein",0.1
"438","hypothetical protein",0.3
"439","hypothetical protein",2.5
"440","hypothetical protein",24.33
"441","EFhand domain containing protein",61.08
"442","hypothetical protein",22.64
"443","serine/threonine protein kinase",27.06
"444","formin domain containing protein",27.42
"445","RasGEF domain containing protein",59.1
"446","hypothetical protein",152.48
"447","Ser/Thr phosphatase, putative",32.61
"448","hypothetical protein",17.49
"449","ABC2 type transporter, putative",41.12
"450","efflux ABC transporter, permease, putative",65.58
"451","hypothetical protein",27.06
"452","hypothetical protein",253.59
"453","ABC2 type transporter superfamily protein",27.9
"454","SCP family extracellular, putative",36.33
"455","hypothetical protein",18.52
"456","ABC2 type transporter, putative",3.75
"457","C2 domain containing protein",17.12
"458","protein kinase, putative",8.13
"459","hypothetical protein",121.04
"460","hypothetical protein",38.72
"461","hypothetical protein",23.91
"462","hypothetical protein",14.31
"463","hypothetical protein",25.5
"464","hypothetical protein",130.52
"465","calciumtranslocating P-type ATPase, PMCA-type, putative",47.7
"466","hypothetical protein",18.22
"467","hypothetical protein",8.82
"468","aurora kinase A, putative",22.64
"469","hypothetical protein",147.07
"470","Fbox domain containing protein",5.73
"471","hypothetical protein",107.78
"472","peroxiredoxin, putative",144.53
"473","hypothetical protein",0.35
"474","GATA zinc finger domain containing protein",16.16
"475","RasGEF domain containing protein",18.77
"476","protein SEQ ID from patent family protein",85.49
"477","pentatricopeptide repeat domain containing protein",15.04
"478","hypothetical protein",9.09
"479","hypothetical protein",2.16
"480","RhoGEF domain containing protein",18.23
"481","RNA polymerase III RPC4 protein",33.35
"482","hypothetical protein",26.28
"483","transmembrane protein",18.14
"484","hypothetical protein",0.2
"485","glutathione stransferase p, putative",0.06
"486","chromatin assembly factor 1, subunit B, putative",1.97
"487","BTB/POZ domain containing protein",5.5
"488","kelch repeat-containing protein",1.7
"489","hypothetical protein",3.52
"490","GTP cyclohydrolase I, putative",32.24
"491","peroxisomal biogenesis protein Pex19, putative, Peroxisomal biogenesis factor 19, putative",42.61
"492","protein phosphatase 6, catalytic subunit isoform a, putative",307.33
"493","protein kinase domain containing protein",10.77
"494","hydrolase, alpha/beta fold domain containing protein",9.31
"495","RhoGEF domain containing protein",5.96
"496","hypothetical protein",0.43
"497","zinc finger, C3HC4 type (RING finger) domain containing protein",12.98
"498","hypothetical protein",4.8
"499","hypothetical protein",6.24
"500","hypothetical protein",6.42
"501","nucleotide exchange factor RasGEF, putative",2.79
"502","regulator of chromosome condensation (RCC1) repeat domain containing protein",0.71
"503","leucine rich repeat domain containing protein",2.07
"504","hypothetical protein",2.31
"505","WD repeat protein",3.39
"506","Yip1 domain containing protein",6.24
"507","hypothetical protein",17.61
"508","leucine rich repeat containing protein",0.66
"509","hypothetical protein",13.89
"510","hypothetical protein",2.82
"511","SNF2 family Nterminal domain containing protein",0.56
"512","hypothetical protein",1.72
"513","hypothetical protein",5.22
"514","EGFlike domain containing protein",0.22
"515","hypothetical protein",1.25
"516","hypothetical protein",1.66
"517","hypothetical protein",0.01
"518","hypothetical protein",0.01
"519","FGGAP repeat domain containing protein",1.37
"520","hypothetical protein",116.6
"521","Telomere length regulation protein TEL2, putative",9.54
"522","Znfinger in Ran binding protein",32.12
"523","hypothetical protein",34.31
"524","hypothetical protein",221.56
"525","Fbox domain containing protein",0.91
"526","ATPase family protein",9.74
"527","hypothetical protein",9.52
"528","HMG (high mobility group) box domain containing protein",37.12
"529","thioredoxin domain containing protein",0.07
"530","RhoGAP domain containing protein",7.83
"531","hypothetical protein",0.07
"532","hypothetical protein",6.91
"533","hypothetical protein",5.5
"534","hypothetical protein",0.1
"535","hypothetical protein",16.32
"536","hypothetical protein",0.66
"537","hypothetical protein",0.75
"538","mitochondrial carnitine/acylcarnitine carrier protein",7.87
"539","carbohydrate binding domain cbm49 protein",2.24
"540","CBS domain containing protein",134.75
"541","Nacetyltransferase",3.09
"542","DNA mismatch repair protein msh2, putative",9.83
"543","hypothetical protein",46.66
"544","hypothetical protein",346
"545","leucine rich repeat-containing protein",39.03
"546","hypothetical protein",36.81
"547","prenylcysteine lyase, putative",19.37
"548","EMP/nonaspanin domain family protein",1.83
"549","hydrolase, alpha/beta fold domain containing protein",11.99
"550","endonuclease/exonuclease/phosphatase family protein",6.86
"551","catalase",593.38
"552","TIMbarrel protein, putative",5.56
"553","nuclear RNase Z, putative",15.43
"554","RapGAP/RanGAP domain containing protein",7.94
"555","von Willebrand factor type A domain containing protein",2.44
"556","SH3 domain containing protein",1.91
"557","hypothetical protein",1.92
"558","hypothetical protein",0.83
"559","Proteintyrosine phosphatase",23.95
"560","slime mold cyclic amp receptor protein",26.39
"561","tyrosine specific protein phosphatase, putative",57.12
"562","hypothetical protein",0.06
"563","serine/threonine kinase",0.14
"564","hypothetical protein",230.44
"565","hypothetical protein",10.96
"566","Fbox domain containing protein",9.14
"567","hypothetical protein",17.52
"568","hypothetical protein",57.52
"569","CBS domain containing protein",83.51
"570","inositol oxygenase 1, putative",17.84
"571","actin subfamily protein",4.25
"572","hypothetical protein",61.59
"573","hypothetical protein",1.37
"574","hypothetical protein",41.86
"575","LIM domain containing protein",0.1
"576","dioxygenase, putative",0.81
"577","NAD dependent epimerase/dehydratase superfamily protein",2.48
"578","hypothetical protein",3.68
"579","exocyst complex component 6, putative",3
"580","hypothetical protein",9.18
"581","rieske [2fe2s] domain containing protein",0.42
"582","hypothetical protein",0.93
"583","hypothetical protein",0.74
"584","tetracyclineefflux transporter, putative",11.59
"585","rieske [2fe2s] domain containing protein",6.08
"586","hypothetical protein",18.85
"587","Spindle pole body protein Spc98 family protein",10.27
"588","hypothetical protein",17.11
"589","oxidoreductase, short chain dehydrogenase/reductase superfamily protein",29.23
"590","hypothetical protein",38.9
"591","hypothetical protein",5.86
"592","hypothetical protein",11
"593","transmembrane protein",9.21
"594","hypothetical protein",20.71
"595","hypothetical protein",43.87
"596","glycoside hydrolase family protein",0.06
"597","ATPase, AAA domain containing protein",3.73
"598","AAA family ATPase",6.36
"599","hypothetical protein",0.23
"600","hypothetical protein",9.1
"601","methionine aminopeptidase, type II, putative",25.44
"602","hypothetical protein",0.49
"603","methionine aminopeptidase, type II, putative",43.98
"604","hypothetical protein",0.09
"605","Choline/Carnitine oacyltransferase superfamily protein",43.73
"606","hypothetical protein",6.06
"607","sortilin, putative",74.67
"608","hypothetical protein",0.44
"609","hypothetical protein",41.36
"610","Ser/Thr phosphatase family protein",31.04
"611","5'-nucleotidase, C-terminal domain containing protein",53.03
"612","Rasrelated GTP-binding protein, putative",21.22
"613","hypothetical protein",0.02
"614","NAD dependent epimerase/dehydratase, putative",0.14
"615","hypothetical protein",110.67
"616","transmembrane protein 56, putative",54.83
"617","hypothetical protein",22.1
"618","cytochrome p450 superfamily protein",45.22
"619","MYC binding protein 2, putative",8.13
"620","hypothetical protein",6.76
"621","hypothetical protein",6.74
"622","hypothetical protein",1.3
"623","hypothetical protein",1.77
"624","RNA binding protein",0.02
"625","RNA recognition motif domain containing protein",27.08
"626","ankyrin repeat-containing protein",31.31
"627","EF hand domain containing protein",16.62
"628","hypothetical protein",8.95
"629","hypothetical protein",10.27
"630","RhoGEF domain containing protein",29.38
"631","protein kinase domain containing protein",67.48
"632","hypothetical protein",0.06
"633","hypothetical protein",13.65
"634","RNA methyltransferase, TrmH superfamily protein",10.39
"635","solute carrier family protein",2.34
"636","urea transporter, putative",0.24
"637","hypothetical protein",19.85
"638","FERM central domain containing protein",22.24
"639","phospholipidtranslocating P-type ATPase, putative",37.92
"640","calcium/ calmodulindependent protein kinase, putative",5.19
"641","transmembrane 7 superfamily member, putative",12.14
"642","translation elongation factor1 alpha, putative",1.65
"643","hypothetical protein",1.34
"644","Ankyrin repeat containing protein",17.56
"645","hypothetical protein",6.98
"646","Multisensor hybrid histidine kinase, putative",3.13
"647","hypothetical protein",15.68
"648","hypothetical protein",5.21
"649","Rho family, small GTP binding protein Rac3, putative",376.99
"650","Gprotein-coupled receptor, putative",4.99
"651","hypothetical protein",14.85
"652","ribosomal protein S13p/S18e, putative",2771.79
"653","ribosomal protein S10p/S20e, putative",2274.37
"654","protein kinase, putative",9.59
"655","transcription factor e2f domain containing protein",21.48
"656","hypothetical protein",16.93
"657","helicase conserved Cterminal domain containing protein",4.01
"658","hypothetical protein",11.15
"659","hypothetical protein",216.41
"660","C2 domain containing protein",6.76
"661","hypothetical protein",3.03
"662","hypothetical protein",3.29
"663","hypothetical protein",2.39
"664","hypothetical protein",0.82
"665","Guanine nucleotidebinding protein G(o), alpha subunit, putative",65.88
"666","hypothetical protein",0.11
"667","hypothetical protein",16.33
"668","hypothetical protein",14.09
"669","glutaminase GtaA, putative",11.64
"670","AMPbinding enzyme domain containing protein",14.65
"671","hypothetical protein",0.13
"672","helicase domain containing protein",5.33
"673","hypothetical protein",505.25
"674","protein kinase domain containing protein",12.9
"675","actin binding protein",1893.38
"676","serine/threonine protein kinase",23.83
"677","peptidylprolyl isomerase H, putative",175.23
"678","hypothetical protein",24.71
"679","Fbox domain containing protein",11.73
"680","hypothetical protein",25.94
"681","carrier superfamily protein",47.65
"682","Smr domain containing protein",14.95
"683","CUE domain containing protein",9.61
"684","opposite strand transcription unit to Stag3, putative",35.42
"685","sugar (glycosidePentoside-hexuronide) transporter, putative",10.05
"686","cation exchanger, putative",34.93
"687","SET domain containing protein",17.52
"688","tetratricopeptide repeat domain containing protein",13.77
"689","hypothetical protein",34.17
"690","SterolC5-desaturase",887.15
"691","oxidoreductase domain containing protein",26.54
"692","hypothetical protein",0.18
"693","LIM domain containing protein",0.9
"694","short chain dehydrogenase/reductase family oxidoreductase",45.9
"695","RNAbinding protein, putative",24.63
"696","hypothetical protein",109.08
"697","ankyrin repeat and zinc finger domain protein, putative",15.09
"698","cupin domain containing protein",6.02
"699","hypothetical protein",1.28
"700","hypothetical protein",0.16
"701","endoplasmic reticulum protein",35.35
"702","betalactamase",1.5
"703","SAM domain (Sterile alpha motif) domain containing protein",46.99
"704","hypothetical protein",21.32
"705","hypothetical protein",0.03
"706","hypothetical protein",0.01
"707","hypothetical protein",0.18
"708","serine/threonine kinase",0.42
"709","DEAD/DEAH box helicase domain containing protein",5.55
"710","hypothetical protein",8.13
"711","hypothetical protein",8.7
"712","RAB4, putative",98.47
"713","ribosomal protein S7e, putative",3151.03
"714","DOMON domain containing protein",40.29
"715","methyltransferase domain containing protein",6.47
"716","erythronate4-phosphate dehydrogenase domain containing protein",15.89
"717","MAP kinase, putative",2.33
"718","WD domain, G-beta repeat-containing protein",6.27
"719","hypothetical protein",71.84
"720","zinc finger, C3HC4 type (RING finger) domain containing protein",8.46
"721","serine/threonine kinase",49.18
"722","flavocytochrome c subfamily protein",235.63
"723","hypothetical protein",13.6
"724","actin-1, putative",203.68
"725","phospholipid:sterol acyl transferase",5.91
"726","C2 domain containing protein",3.5
"727","WD40 repeat-containing protein",15.57
"728","WD domain, G-beta repeat-containing protein",9.57
"729","Centractin, putative",47.88
"730","serine hydroxymethyltransferase",157.89
"731","hypothetical protein",0.77
"732","hypothetical protein",11.17
"733","hypothetical protein",4.57
"734","hypothetical protein",0.97
"735","profilin, putative",1713.18
"736","calponin domain containing protein",226.12
"737","Ras subfamily protein",8.6
"738","hypothetical protein",1.95
"739","hypothetical protein",0.2
"740","peptidase, S8/S53 subfamily protein",0.76
"741","cupin superfamily protein",5.22
"742","C2 domain containing protein",10.98
"743","hypothetical protein",5.66
"744","phosphate ABC transporter, putative",7.07
"745","WD domain, G-beta repeat-containing protein",24.53
"746","transmembrane protein",58.71
"747","PHDfinger domain containing protein",23.32
"748","reverse transcriptase, putative",0.01
"749","hypothetical protein",0.33
